capacite,effectif_total_candidats,effectif_total_candidates,effectif_total_proposition_admission,effectif_total_admis_boursiers_neo_bac, effectif_admis_meme_academie, poucentage_admis_selon_candidats
15,204,81,102,0,6,7.35294117647058823500
30,130,15,67,1,2,5.38461538461538461500
15,234,34,46,4,7,3.41880341880341880300
20,715,510,73,0,9,2.51748251748251748300
54,1048,794,283,8,16,5.15267175572519084000
10,178,77,146,0,0,0.56179775280898876400
15,5,0,5,1,3,60.00000000000000000000
30,780,376,130,6,23,3.84615384615384615400
30,500,371,246,7,21,5.40000000000000000000
35,1024,180,155,5,19,3.12500000000000000000
35,602,336,126,19,28,5.48172757475083056500
85,4210,859,1491,11,6,1.99524940617577197100
25,1441,516,109,4,22,1.73490631505898681500
40,2434,1895,326,2,5,1.60230073952341824200
15,172,16,61,5,12,7.55813953488372093000
198,9475,7980,1697,31,72,2.08970976253298153000
40,1098,729,166,9,24,3.27868852459016393400
48,328,213,236,2,24,8.23170731707317073200
35,709,378,170,13,24,4.65444287729196050800
40,344,198,271,5,13,14.82558139534883720900
30,416,87,58,1,9,7.21153846153846153800
35,653,305,123,4,24,5.35987748851454823900
60,86,65,82,0,5,12.79069767441860465100
15,190,21,62,1,8,6.31578947368421052600
5,58,2,14,1,3,6.89655172413793103400
20,102,32,38,0,3,11.76470588235294117600
4,163,23,7,1,2,2.45398773006134969300
12,121,17,63,2,4,4.95867768595041322300
42,140,30,97,4,21,20.71428571428571428600
32,3802,1620,637,2,10,0.84166228300894266200
25,273,223,156,3,8,8.05860805860805860800
25,258,66,56,2,20,9.68992248062015503900
35,1643,1463,215,18,18,2.00852099817407182000
38,234,118,132,17,27,15.38461538461538461500
100,818,57,426,16,49,10.39119804400977995100
12,133,31,86,3,7,9.02255639097744360900
140,732,299,570,22,88,18.85245901639344262300
36,400,77,179,6,24,8.75000000000000000000
15,144,18,64,2,9,8.33333333333333333300
22,464,259,119,8,11,3.23275862068965517200
72,2506,2006,301,11,46,2.87310454908220271300
24,518,31,118,11,12,4.63320463320463320500
10,46,23,17,0,0,0.00000000000000000000
24,809,352,376,1,19,2.96662546353522867700
24,252,14,92,2,5,3.17460317460317460300
30,144,69,91,5,14,13.88888888888888888900
12,780,497,33,2,3,1.28205128205128205100
36,228,79,93,1,13,7.89473684210526315800
13,555,452,51,3,5,2.70270270270270270300
90,363,246,300,8,20,14.04958677685950413200
35,713,397,115,5,14,4.76858345021037868200
24,212,150,86,5,11,11.32075471698113207500
88,2691,2222,696,12,58,3.27015979189892233400
100,585,407,437,11,45,13.16239316239316239300
5,89,61,22,1,0,4.49438202247191011200
90,784,228,605,4,14,5.22959183673469387800
25,32,19,23,1,4,18.75000000000000000000
60,1128,654,493,17,36,4.78723404255319148900
20,264,11,79,1,16,10.22727272727272727300
38,112,66,24,0,0,2.67857142857142857100
35,780,660,156,6,13,4.48717948717948717900
60,4239,948,2471,6,27,0.94361877801368247200
15,162,81,41,5,10,9.25925925925925925900
48,799,160,313,8,18,6.00750938673341677100
12,864,413,22,2,8,1.27314814814814814800
16,332,279,52,1,7,4.81927710843373494000
36,706,485,73,14,15,3.11614730878186968800
15,33,13,18,0,0,3.03030303030303030300
33,75,69,36,0,7,29.33333333333333333300
28,1529,1150,46,1,6,1.83126226291693917600
12,61,9,27,2,6,16.39344262295081967200
100,268,142,92,8,29,20.14925373134328358200
163,5293,2921,806,76,78,3.21178915548838088000
26,164,105,76,4,7,7.31707317073170731700
35,321,57,225,4,4,4.36137071651090342700
116,2412,1693,1114,29,50,5.05804311774461028200
15,205,82,57,5,8,5.85365853658536585400
173,4213,1979,859,53,113,3.94018514122952765300
24,266,113,95,3,13,7.89473684210526315800
15,33,12,27,4,6,24.24242424242424242400
32,465,234,269,1,21,4.94623655913978494600
20,144,17,56,0,0,0.00000000000000000000
600,10745,5806,1913,96,103,5.62121917170777105600
24,687,419,158,5,9,3.34788937409024745300
48,620,160,287,2,8,5.96774193548387096800
110,409,182,372,6,21,12.22493887530562347200
26,202,169,105,4,5,11.88118811881188118800
36,628,334,149,7,14,4.61783439490445859900
28,279,137,90,5,3,5.01792114695340501800
30,212,50,93,2,14,12.73584905660377358500
35,2877,1745,231,10,18,1.18178658324643726100
200,1645,1171,482,40,191,12.15805471124620060800
24,242,157,93,9,18,8.67768595041322314000
98,1161,312,542,17,64,8.18260120585701981100
24,304,134,91,9,16,7.56578947368421052600
30,546,94,148,5,17,5.12820512820512820500
40,459,161,242,2,21,6.53594771241830065400
115,720,518,511,12,50,14.72222222222222222200
23,172,157,66,1,5,11.04651162790697674400
15,121,14,59,3,7,9.91735537190082644600
58,300,253,264,3,18,10.00000000000000000000
12,70,9,28,0,2,10.00000000000000000000
60,346,118,129,3,19,8.67052023121387283200
35,948,439,106,9,28,3.27004219409282700400
